module,submodule,scope_anchor,route_callsites,name_callsites,source_classification,P1,P2,P3,P4,P5,P6,P7,P8,agent_assignments,evidence_count,gaps,reconciliation,completion_credit
eMAR,emar,routes/emar.php,122,122,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Finance,finance,routes/finance.php,272,272,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Fleet & Assets,fleet-assets,routes/fleet-assets.php,148,148,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Fleet compatibility and map usage,fleet,routes/fleet.php,10,10,A,PARTIAL_STATIC_ALIAS_CLASSIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Governance,governance,routes/governance.php,190,191,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Care & Clinical,health-clinical,routes/health-clinical.php,35,40,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Health & Safety,health-safety,routes/health-safety.php,189,200,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
HR,hr,routes/hr.php,610,639,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Incidents,incidents,routes/incidents.php,29,29,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Inbound integrations,integrations,routes/integrations.php,3,3,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Medication compatibility/report routes,medications,routes/medications.php,8,8,A,PARTIAL_STATIC_ALIAS_CLASSIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Site-scoped monitoring collector,monitoring-collector,routes/monitoring-collector.php,4,5,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Operations and Workforce,operations,routes/operations.php,346,341,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Client/family Portal and notification inbox,portal,routes/portal.php,85,82,M/P,PARTIAL_STATIC_ROUTE_FAMILY_GAP_IDENTIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Privacy,privacy,routes/privacy.php,49,49,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Cross-module report hub,reports,routes/reports.php,10,10,M/P,PARTIAL_STATIC_ROUTE_FAMILY_GAP_IDENTIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Respite,respite,routes/respite.php,111,111,M/P,PARTIAL_STATIC_ROUTE_FAMILY_GAP_IDENTIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Roadmap,roadmap,routes/roadmap.php,26,27,M/P,PARTIAL_STATIC_ROUTE_FAMILY_GAP_IDENTIFIED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
Safeguarding,safeguarding,routes/safeguarding.php,26,26,R,PARTIAL_STATIC_ROUTE_FILE_REPRESENTED_NO_RUNTIME,NOT_STARTED_CURRENT_AUDIT,NOT_STARTED_OR_NOT_MAPPED_TO_FROZEN_FEATURES,GLOBAL_STATIC_VISUAL_CENSUS_AVAILABLE_ROUTE_SPECIFIC_RENDERED_REVIEW_NOT_STARTED,GLOBAL_BACKEND_LOCATORS_AVAILABLE_ROUTE_SPECIFIC_OWNERSHIP_NOT_COMPLETE,NOT_STARTED_CURRENT_AUDIT,GLOBAL_STATIC_TEST_OPERABILITY_LOCATORS_AVAILABLE_NO_EXECUTION,NOT_STARTED_CURRENT_AUDIT,RUN-012; RUN-013; RUN-014,1,"Framework-expanded reachability, canonical FEATURE-ID ownership, task/ease, benchmark, rendered role/Site/browser states, runtime tests, and independent Pass 8 remain open.",One provisional route-file ownership row; the 38-row ledger is not the canonical module/submodule denominator.,false
