visual_id,legacy_feature_id,feature_id,working_feature_ids,feature_link_status,feature_link_evidence,module,route_name,route_path,role,site_scope,viewport,state,pattern_type,component_anchor,implementation,trigger,screenshot,internal_baseline,classification,observed_notes,finding_ids
VIS-000019,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,exact_working_key,legacy feature_id exactly equals final working key CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,"Sites, facilities and catering",sites.calendar.global,calendar,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,calendar/global,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 47 [Capability link uncertainty: legacy family SITE-SITE-CALENDAR; 2 plausible canonical capabilities; retained primary CAP-SITE-SITE-CALENDAR-EVENT-PLANNING without claiming exclusivity.],
VIS-000020,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,exact_working_key,legacy feature_id exactly equals final working key CAP-SITE-SITE-CALENDAR-EVENT-PLANNING,"Sites, facilities and catering",sites.calendar.global,calendar,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,calendar/global,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 0; <44px heuristic 34 [Capability link uncertainty: legacy family SITE-SITE-CALENDAR; 2 plausible canonical capabilities; retained primary CAP-SITE-SITE-CALENDAR-EVENT-PLANNING without claiming exclusivity.],
VIS-000021,HR-CAREERS-CAREER-PORTAL,CAP-HR-CAREERS-PUBLIC-APPLICATION,CAP-HR-CAREERS-PUBLIC-APPLICATION,split_family_exact_route_page,split source family HR-CAREERS-CAREER-PORTAL; inventory route_ids=ROUTE-0088; route targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; inventory page_ids=PAGE-0018; page targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; shared family envelope not promoted,Human resources,careers.index,careers,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,careers/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 1; <44px heuristic 4,
VIS-000022,HR-CAREERS-CAREER-PORTAL,CAP-HR-CAREERS-PUBLIC-APPLICATION,CAP-HR-CAREERS-PUBLIC-APPLICATION,split_family_exact_route_page,split source family HR-CAREERS-CAREER-PORTAL; inventory route_ids=ROUTE-0088; route targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; inventory page_ids=PAGE-0018; page targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; shared family envelope not promoted,Human resources,careers.index,careers,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,careers/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 1; <44px heuristic 4,
VIS-000023,HR-CAREERS-CAREER-PORTAL,CAP-HR-CAREERS-PUBLIC-APPLICATION,CAP-HR-CAREERS-PUBLIC-APPLICATION,split_family_exact_route_page,split source family HR-CAREERS-CAREER-PORTAL; inventory route_ids=ROUTE-0088; route targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; inventory page_ids=PAGE-0018; page targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; shared family envelope not promoted,Human resources,careers.index,careers,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,careers/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 1; <44px heuristic 4,
VIS-000024,HR-CAREERS-CAREER-PORTAL,CAP-HR-CAREERS-PUBLIC-APPLICATION,CAP-HR-CAREERS-PUBLIC-APPLICATION,split_family_exact_route_page,split source family HR-CAREERS-CAREER-PORTAL; inventory route_ids=ROUTE-0088; route targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; inventory page_ids=PAGE-0018; page targets=CAP-HR-CAREERS-PUBLIC-APPLICATION; shared family envelope not promoted,Human resources,careers.index,careers,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,careers/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 1; <44px heuristic 4,
VIS-000025,SITE-DASHBOARD,CAP-SITE-MEAL-PLANNING,CAP-SITE-MEAL-PLANNING,source_family_one_to_one,source family SITE-DASHBOARD has exactly one final target,"Sites, facilities and catering",catering.meal-planner,catering,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,catering/meal-planner,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 16,
VIS-000026,SITE-DASHBOARD,CAP-SITE-MEAL-PLANNING,CAP-SITE-MEAL-PLANNING,source_family_one_to_one,source family SITE-DASHBOARD has exactly one final target,"Sites, facilities and catering",catering.meal-planner,catering,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,catering/meal-planner,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 16,
VIS-000027,SITE-DASHBOARD,CAP-SITE-MEAL-PLANNING,CAP-SITE-MEAL-PLANNING,source_family_one_to_one,source family SITE-DASHBOARD has exactly one final target,"Sites, facilities and catering",catering.meal-planner,catering,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,catering/meal-planner,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 16,
VIS-000028,SITE-DASHBOARD,CAP-SITE-MEAL-PLANNING,CAP-SITE-MEAL-PLANNING,source_family_one_to_one,source family SITE-DASHBOARD has exactly one final target,"Sites, facilities and catering",catering.meal-planner,catering,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,catering/meal-planner,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 0; <44px heuristic 3,
VIS-000029,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,exact_working_key,legacy feature_id exactly equals final working key SITE-CHECKLISTS-DASHBOARD,"Sites, facilities and catering",checklists.index,checklists,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,checklists/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 1; <44px heuristic 37,
VIS-000030,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,exact_working_key,legacy feature_id exactly equals final working key SITE-CHECKLISTS-DASHBOARD,"Sites, facilities and catering",checklists.index,checklists,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,checklists/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 1; <44px heuristic 37,
VIS-000031,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,exact_working_key,legacy feature_id exactly equals final working key SITE-CHECKLISTS-DASHBOARD,"Sites, facilities and catering",checklists.index,checklists,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,checklists/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 1; <44px heuristic 37,
VIS-000032,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,SITE-CHECKLISTS-DASHBOARD,exact_working_key,legacy feature_id exactly equals final working key SITE-CHECKLISTS-DASHBOARD,"Sites, facilities and catering",checklists.index,checklists,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,checklists/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; document overflow; missing-name signal 1; <44px heuristic 24,
VIS-000033,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,exact_working_key,legacy feature_id exactly equals final working key CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,Health and safety,compliance.hazards,compliance/hazards,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,compliance/hazards/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 1; <44px heuristic 39 [Capability link uncertainty: legacy family HS-SITE-HAZARD; 3 plausible canonical capabilities; retained primary CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS without claiming exclusivity.],
VIS-000034,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,exact_working_key,legacy feature_id exactly equals final working key CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,Health and safety,compliance.hazards,compliance/hazards,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,compliance/hazards/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 1; <44px heuristic 39 [Capability link uncertainty: legacy family HS-SITE-HAZARD; 3 plausible canonical capabilities; retained primary CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS without claiming exclusivity.],
VIS-000035,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,exact_working_key,legacy feature_id exactly equals final working key CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,Health and safety,compliance.hazards,compliance/hazards,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,compliance/hazards/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 1; <44px heuristic 39 [Capability link uncertainty: legacy family HS-SITE-HAZARD; 3 plausible canonical capabilities; retained primary CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS without claiming exclusivity.],
VIS-000036,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,exact_working_key,legacy feature_id exactly equals final working key CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS,Health and safety,compliance.hazards,compliance/hazards,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,compliance/hazards/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 1; <44px heuristic 26 [Capability link uncertainty: legacy family HS-SITE-HAZARD; 3 plausible canonical capabilities; retained primary CAP-HS-SITE-HAZARD-CORRECTIVE-ACTIONS without claiming exclusivity.],
VIS-000037,PRIV-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,source_family_one_to_one,source family PRIV-COMPLIANCE-DASHBOARD has exactly one final target,Privacy and compliance,compliance.index,compliance,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,compliance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 54,
VIS-000038,PRIV-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,source_family_one_to_one,source family PRIV-COMPLIANCE-DASHBOARD has exactly one final target,Privacy and compliance,compliance.index,compliance,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,compliance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 54,
VIS-000039,PRIV-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,source_family_one_to_one,source family PRIV-COMPLIANCE-DASHBOARD has exactly one final target,Privacy and compliance,compliance.index,compliance,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,compliance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 54,
VIS-000040,PRIV-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,CAP-COMP-COMPLIANCE-DASHBOARD,source_family_one_to_one,source family PRIV-COMPLIANCE-DASHBOARD has exactly one final target,Privacy and compliance,compliance.index,compliance,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,compliance/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; document overflow; missing-name signal 0; <44px heuristic 41,
VIS-000041,PUB-CONTACT,CAP-PUB-CONTACT-LEAD-SUBMISSION,CAP-PUB-CONTACT-LEAD-SUBMISSION,source_family_one_to_one,source family PUB-CONTACT has exactly one final target,Public and marketing,contact,contact,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,contact,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 3,
VIS-000042,PUB-CONTACT,CAP-PUB-CONTACT-LEAD-SUBMISSION,CAP-PUB-CONTACT-LEAD-SUBMISSION,source_family_one_to_one,source family PUB-CONTACT has exactly one final target,Public and marketing,contact,contact,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,contact,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 0; <44px heuristic 3,
VIS-000043,PUB-CONTACT,CAP-PUB-CONTACT-LEAD-SUBMISSION,CAP-PUB-CONTACT-LEAD-SUBMISSION,source_family_one_to_one,source family PUB-CONTACT has exactly one final target,Public and marketing,contact,contact,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,contact,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 0; <44px heuristic 3,
VIS-000044,PUB-CONTACT,CAP-PUB-CONTACT-LEAD-SUBMISSION,CAP-PUB-CONTACT-LEAD-SUBMISSION,source_family_one_to_one,source family PUB-CONTACT has exactly one final target,Public and marketing,contact,contact,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,contact,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 0; <44px heuristic 3,
VIS-000045,CR-ALERT,CAP-CR-ALERT-SENSOR-VALIDATION,CAP-CR-ALERT-SENSOR-VALIDATION,split_family_exact_page,split source family CR-ALERT; inventory route_ids=ROUTE-0214; route targets=none; inventory page_ids=PAGE-0048; page targets=CAP-CR-ALERT-SENSOR-VALIDATION; shared family envelope not promoted,Control Room,control-room.alerts.index,control-room/alerts,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,control-room/alerts/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 3; <44px heuristic 138,
VIS-000046,CR-ALERT,CAP-CR-ALERT-SENSOR-VALIDATION,CAP-CR-ALERT-SENSOR-VALIDATION,split_family_exact_page,split source family CR-ALERT; inventory route_ids=ROUTE-0214; route targets=none; inventory page_ids=PAGE-0048; page targets=CAP-CR-ALERT-SENSOR-VALIDATION; shared family envelope not promoted,Control Room,control-room.alerts.index,control-room/alerts,Demo Administrator,not visibly selected,1280x800,initial rendered state,page/component,control-room/alerts/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1280x800; no document overflow; missing-name signal 3; <44px heuristic 138,
VIS-000047,CR-ALERT,CAP-CR-ALERT-SENSOR-VALIDATION,CAP-CR-ALERT-SENSOR-VALIDATION,split_family_exact_page,split source family CR-ALERT; inventory route_ids=ROUTE-0214; route targets=none; inventory page_ids=PAGE-0048; page targets=CAP-CR-ALERT-SENSOR-VALIDATION; shared family envelope not promoted,Control Room,control-room.alerts.index,control-room/alerts,Demo Administrator,not visibly selected,1440x900,initial rendered state,page/component,control-room/alerts/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1440x900; no document overflow; missing-name signal 3; <44px heuristic 138,
VIS-000048,CR-ALERT,CAP-CR-ALERT-SENSOR-VALIDATION,CAP-CR-ALERT-SENSOR-VALIDATION,split_family_exact_page,split source family CR-ALERT; inventory route_ids=ROUTE-0214; route targets=none; inventory page_ids=PAGE-0048; page targets=CAP-CR-ALERT-SENSOR-VALIDATION; shared family envelope not promoted,Control Room,control-room.alerts.index,control-room/alerts,Demo Administrator,not visibly selected,390x844,initial rendered state,page/component,control-room/alerts/index,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 390x844; no document overflow; missing-name signal 3; <44px heuristic 125,VIS-DEPLOYED-DRIFT-01
VIS-000049,CR-CONTROL-ROOM-BROADCAST,CAP-CR-BROADCAST-OVERSIGHT,CAP-CR-BROADCAST-OVERSIGHT,split_family_exact_route_page,split source family CR-CONTROL-ROOM-BROADCAST; inventory route_ids=ROUTE-0248; route targets=CAP-CR-BROADCAST-OVERSIGHT; inventory page_ids=PAGE-0050; page targets=CAP-CR-BROADCAST-COMPOSE-SEND|CAP-CR-BROADCAST-OVERSIGHT; shared family envelope not promoted,Control Room,control-room.broadcast.index,control-room/broadcast,Demo Administrator,not visibly selected,1024x768,initial rendered state,page/component,control-room/broadcast,Inertia resolver page,direct safe navigation,,Internal module page composition,Observed,measured 1024x768; no document overflow; missing-name signal 0; <44px heuristic 18,
