"task_script_id","feature_id","module","actor","task","start_condition","goal","prerequisites","observed_or_inferred","validation_status","score_measurement_status","score_scale","discoverability","comprehension","learnability","efficiency","error_prevention","recovery","accessibility","safety_and_trust","consistency","cross_module_continuity","completion_time","step_count","required_field_count","decision_count","context_switches","dead_ends","recovery_path","target_scores","independent_review","finding_ids"
"TASK-CAP-AUTH-PASSWORD-RESET","CAP-AUTH-PASSWORD-RESET","AUTH","Account holder or authorised account administrator","Complete Password Reset and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-AUTH-PASSWORD-SESSION","CAP-AUTH-PASSWORD-SESSION","AUTH","Account holder or authorised account administrator","Complete Password Session and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-AUTH-PUBLIC-REGISTRATION-PENDING-APPROVAL","CAP-AUTH-PUBLIC-REGISTRATION-PENDING-APPROVAL","AUTH","Account holder or authorised account administrator","Complete Public Registration Pending Approval and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-AUTH-SENSITIVE-ACTION-REAUTH","CAP-AUTH-SENSITIVE-ACTION-REAUTH","SETTINGS","Authorised settings administrator or account holder where self-service applies","Complete Sensitive Action Reauth and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-AUTH-STAFF-EXTERNAL-IDENTITY","CAP-AUTH-STAFF-EXTERNAL-IDENTITY","AUTH","Account holder or authorised account administrator","Complete Staff External Identity and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-AUTH-TWO-FACTOR-LOGIN-CHALLENGE","CAP-AUTH-TWO-FACTOR-LOGIN-CHALLENGE","AUTH","Account holder or authorised account administrator","Complete Two Factor Login Challenge and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLI-CLIENT-DOCUMENT-STAFF-LIBRARY","CAP-CLI-CLIENT-DOCUMENT-STAFF-LIBRARY","CLIENTS","Authorised client-record practitioner","Complete Client Document Staff Library and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLI-CLIENT-TIMELINE-VIEW","CAP-CLI-CLIENT-TIMELINE-VIEW","CLIENTS","Authorised client-record practitioner","Complete Client Timeline View and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLI-PORTAL-VISIT-REQUEST","CAP-CLI-PORTAL-VISIT-REQUEST","CLIENTS","Authorised client-record practitioner","Complete Portal Visit Request and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-ASSESSMENT-REGISTER","CAP-CLIN-ASSESSMENT-REGISTER","CLINICAL","Authorised clinical practitioner","Complete Assessment Register and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-BEHAVIOUR-REGISTER","CAP-CLIN-BEHAVIOUR-REGISTER","CLINICAL","Authorised clinical practitioner","Complete Behaviour Register and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review","CLIN-SITE-01"
"TASK-CAP-CLIN-CARE-PLAN-REVIEW-LENS","CAP-CLIN-CARE-PLAN-REVIEW-LENS","CLINICAL","Authorised clinical practitioner","Complete Care Plan Review Lens and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-CLIENT-ABC-BEHAVIOUR-RECORD","CAP-CLIN-CLIENT-ABC-BEHAVIOUR-RECORD","CLINICAL","Authorised clinical practitioner","Complete Client Abc Behaviour Record and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-CLIENT-BOWEL-CHART","CAP-CLIN-CLIENT-BOWEL-CHART","CLINICAL","Authorised clinical practitioner","Complete Client Bowel Chart and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-CLIENT-FLUID-CHART","CAP-CLIN-CLIENT-FLUID-CHART","CLINICAL","Authorised clinical practitioner","Complete Client Fluid Chart and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-CLIENT-SEIZURE-CHART","CAP-CLIN-CLIENT-SEIZURE-CHART","CLINICAL","Authorised clinical practitioner","Complete Client Seizure Chart and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-CLIENT-SLEEP-CHART","CAP-CLIN-CLIENT-SLEEP-CHART","CLINICAL","Authorised clinical practitioner","Complete Client Sleep Chart and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
"TASK-CAP-CLIN-CLIENT-SUMMARY","CAP-CLIN-CLIENT-SUMMARY","CLINICAL","Authorised clinical practitioner","Complete Client Summary and verify persisted completion and hand-off evidence","Authorised representative actor and resettable synthetic prerequisite; target entry is target-supported exact/shared relation retained in the working manifest; not necessarily exclusive ownership.","Authoritative persisted outcome, provenance, downstream effect and next owner or terminal state.","Representative account; correct site/ownership/parent relation; resettable fixture; wrong-object denial fixtures.","Source-derived final-ID task; runtime unverified","Blocked—source-derived final-ID task exists; 0/790 representative-role tasks executed; independent semantic/usability review pending","Not measured","0-5; blank means not measured","","","","","","","","","","","Not measured","5 source-bound steps; rendered/conditional count not measured","Not measured","Not measured","Not measured","Not measured","Wrong-object denial; validation preservation; concurrency/replay at-most-once; queued/failure visibility; authorised correction/reversal. Exact runtime paths unverified.","{""all_dimensions"":null,""safety_critical_error_prevention_and_trust"":null}","Blocked—no representative-user task execution or independent score review",""
